"name","description","address","zipcode","city","longitude","latitude"
"Crias","Faciliter la vie à domicile des personnes en perte d’autonomie et/ou en situation de handicap.","71C Cours Albert Thomas","69003","LYON","4.8674168","45.747082"
"Rucher pédagogique des Gones","La sensibilisation à l’environnement dans le sens large du terme, et plus particulièrement par la découverte, l’initiation  en apiculture de tout public, notamment les scolaires et apprentis
L’organisation et/ou la participation à des événements en lien avec l’apiculture et plus généralement la nature","33 Rue Saint-Jean-de-Dieu","69007","LYON","4.8454807","45.7242317"
"Mouvement du Nid - Délégation du Rhône","Basée à Lyon, la délégation du Rhône accompagne les personnes en situation de prostitution et les professionnel.le.s du département.","70 rue Rachais","69007","LYON","4.848846","45.749419"
"Nationsorg","Cette association a pour objet : Nationsorg est la plateforme internationale de le réalisation des projets différents en commun
Convergence des francophones et étrangers
L'organisation d'événements et de fêtes internationales
L'organisation de manifestations sportives
L'échange linguistique et culturel avec la mise en place d’atelier et de soirées de rencontres.","75 Cours Richard-Vitton","69003","LYON","4.893574","45.753358"
"Centre socioculturel du Point du Jour","Association de proximité, le centre social propose de nombreuses animations et activités pour tous les âges.","10 Impasse Secret","69005","LYON","4.7946111","45.7555927"
"Association Régionale des infirmes moteurs cérébraux","L’ARIMC gère des établissements et services qui proposent un
accompagnement des personnes atteintes de paralysie cérébrale ou
de troubles neuromoteurs, de la petite enfance à l’âge adulte. Ces lieux
de vie sont conçus pour répondre aux besoins des usagers et favoriser
leur épanouissement.","20 Boulevard de Balmont","69009","LYON","4.8004251","45.7848313"
"Eris, ""Tu seras""""","Eris a pour mission de faciliter l'intégration des personnes réfugiées dès leur arrivée en France. Nous adoptons une approche globale de l'intégration en associant apprentissage du français, découverte de la culture française, création de lien social et accompagnement vers l'insertion socio-professionnelle. Pour cela, nous mettons en place des programmes intensifs aux activités complémentaires qui favorisent un suivi individualisé et qui permettent à chaque participant d'être acteur de son parcours d'intégration. Ainsi, Eris agit comme un tremplin vers l'autonomie et la confiance en soi !","13 bis Rue Girié","69003","LYON","4.8763223","45.7536899"
" Les Foyers Matter - Programme Devenirs","L’Association Les Foyers Matter, reconnue d’utilité publique, est née en 1982 de la fusion de deux Associations, toutes deux d’inspiration protestante :les « Œuvres Etienne MATTER » fondées à la fin du 19ème siècle et « le Foyer du jeune libéré » fondé en 1960.","7 Rue Marc-Antoine Petit","69003","LYON","4.8242942","45.7454927"
"Handicap International","Handicap International est une ONG de solidarité internationale qui intervient dans une soixantaine de pays. ","138 Avenue des Frères Lumière","69008","LYON","4.8712211","45.7437936"
"Fondation Claude Pompidou","Centre associatif de la Mairie du 6ème","37 Rue Bossuet","69906","LYON","4.8503967","45.7679302"
"SPES soutien scolaire","""SPES soutien scolaire""c'est une association loi de 1901, apolitique, non confessionnelle, indépendante et sans but lucratif.""SPES soutien scolaire"" c’est une rencontre chaque semaine entre des enfants, des jeunes en difficulté et une équipe de bénévoles dans les locaux de l'Association.","13 Place de Trion","69005","LYON","4.8062071","45.7623591"
"Association Valentin HAÜY au service des aveugles et des malvoyants - Siège","Acteur historique de l’aide aux personnes déficientes visuelles, l’association Valentin Haüy, créée en 1889 par Maurice de La Sizeranne et reconnue d’utilité publique en 1891, déploie depuis plus de 130 ans un grand nombre de services et d’actions à travers toute la France afin de : défendre les droits des déficients visuels, assurer leur formation et l’accès à l’emploi, restaurer et développer leur autonomie, promouvoir l’accès à l’écrit,  proposer des activités culturelles, sportives et de loisirs accessibles.
","97 Boulevard des Belges","69006","LYON","4.8580908","45.7692536"
"Unicef  Rhône","Nous pouvons vous proposer des activités toute l’année: vous serez reçu par notre équipe d’accueil. Celle-ci vous expliquera comment est organisé notre Comité en plusieurs groupes de travail. Vous aurez la possibilité de choisir l’activité qui vous convient le mieux. Vous investirez le temps que vous souhaitez consacrer à ce bénévolat. Vous pourrez toujours choisir une autre activité quand vous connaîtrez mieux le fonctionnement interne de notre Comité. Nous pourrons vous proposer une formation si nécessaire.","73 Rue Vauban","69006","LYON","4.8490648","45.7655144"
