"web_scraper_order","web_scraper_start_url","title","lieu","type","asso","date_mission","dispo"
"1615905100-5118","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=3&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Mission Urgente !","Lieu : Partout en France ","Type :  Autres actions","Association :  MINECRAFT PRO GAMING","Date : du 16/03/2021 au 04/04/2021","Disponibilité demandée :  20 créations"
"1615904302-2331","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=235&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","LILLE : Communication et partenariats pour plus de lien social","Lieu : LILLE (59000)","Type :  Communication","Association :  Astrée","Date : Tout le temps","Disponibilité demandée :  Environ 1h30 par semaine (flexible)"
"1615903954-885","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=356&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé(e) de collecte de dons / Campagnes de financement participatif  Crowdfunding","Lieu : Partout en France ","Type :  Collecte (argent, aliments...)","Association :  Association pour une Afrique Durable","Date : Tout le temps","Disponibilité demandée :  1 jour par semaine"
"1615904175-1763","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=283&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé (e)  du recrutement et suivi des bénévoles","Lieu : CLERMONT FERRAND (63000)","Type :  Gestion administrative","Association :  Unicef - Comité du Puy de Dôme","Date : Tout le temps","Disponibilité demandée :  régulière"
"1615904752-4058","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=91&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Trésorier.e Pôle Boutique","Lieu : Partout en France ","Type :  Gestion administrative","Association :  Association Médias Jeunes Production (AMJP)","Date : Tout le temps","Disponibilité demandée :  Entre 2 et 4 heures par semaine"
"1615904616-3543","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=134&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Parrainer et accompagner des étudiants dans une démarche de co-construction","Lieu : COLOMIERS (31770)","Type :  Aide à l'insertion / Parrainages","Association :  XperiencePro","Date : Tout le temps","Disponibilité demandée :  Quelques heures par mois, selon les disponibilités"
"1615904430-2789","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=197&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animatrice de danse","Lieu : PARIS 75016 (75016)","Type :  Animation sportive","Association :  Equipières Saint Vincent","Date : du 15/01/2021 au 15/12/2021","Disponibilité demandée :  1 heure par semaine"
"1615904983-4744","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=34&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animer une boutique solidaire (vêtements)","Lieu : COTE-D'OR (21)","Type :  Distribution d'aliments, vêtements...","Association :  Secours catholique - Délégation BOURGOGNE","Date : Tout le temps","Disponibilité demandée :  La semaine en journée. Mission Régulière.  Une demi journée par semaine"
"1615904757-4092","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=89&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé(e) de recrutement","Lieu : Partout en France ","Type :  Gestion administrative","Association :  Relais International de Généalogie Arménienne","Date : Tout le temps","Disponibilité demandée :  5 heures par semaine"
"1615904857-4421","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=61&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnez une personne âgée dans le numérique dans le 12e !","Lieu : PARIS 75012 (75012)","Type :  Informatique. Web","Association :  Les Astroliens ","Date : Tout le temps","Disponibilité demandée :  3h par semaine"
"1615903877-609","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=379&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagner des créateurs d'entreprise - Ancenis","Lieu : ANCENIS (44150)","Type :  Aide à l'insertion / Parrainages","Association :  Association pour le Droit à  l'Initiative Economique","Date : Tout le temps","Disponibilité demandée :  1 demie journée par semaine"
"1615903819-472","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=390&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animation boutique ressourcerie","Lieu : SAULX LES CHARTREUX (91160)","Type :  Vente. Commerce équitable","Association :  La Fabrik Saulxlidaire","Date : Tout le temps","Disponibilité demandée :  3h une fois par mois le samedi après-midi ou 1 à 2 h dans la semaine"
"1615904272-2211","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=245&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Ecrivain public - Aide aux démarches administratives - Argenteuil","Lieu : ARGENTEUIL (95100)","Type :  Ecrivain public (Aide aux démarches administratives)","Association :  PACE-ATMF","Date : Tout le temps","Disponibilité demandée :  - Quelques heures par semaine."
"1615904396-2631","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=210&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Chargé(e) d’évènements et manifestations H/F","Lieu : LILLE (59000)","Type :  Autres actions","Association :  Unicef - Comité Nord de France","Date : Tout le temps","Disponibilité demandée :  quelques heures par mois"
"1615904203-1882","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=273&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Visiteur-Correspondant de prison pour le Centre de Détention de ROANNE (42)","Lieu : ROANNE (42300)","Type :  Visites en établissement","Association :  Auxilia - Formation et amitié : une nouvelle chance","Date : Tout le temps","Disponibilité demandée :  1 demi-journée par semaine environ"
"1615904980-4736","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=35&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","93/Bobigny– Aidez un jeune vulnérable à révéler son potentiel en favorisant son insertion sociopro !","Lieu : SEINE-SAINT-DENIS (93)","Type :  Aide à l'insertion / Parrainages","Association :  Parrains Par Mille","Date : Tout le temps","Disponibilité demandée :  A déterminer"
"1615903842-543","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=384&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Relais financier promotion de l'épargne solidaire","Lieu : VAR (83)","Type :  Recherche de fonds, de partenaires","Association :  Habitat et Humanisme - Var","Date : Tout le temps","Disponibilité demandée :  2 demi-journées par mois"
"1615904495-2970","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=182&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accueillir les beneficiaires à l’épicerie sociale","Lieu : TOULOUSE (31000)","Type :  Distribution d'aliments, vêtements...","Association :  CAP CENTRE","Date : Tout le temps","Disponibilité demandée :  1 demi-journée par semaine (2 heures)"
"1615903884-637","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=376&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Accompagnement des personnes âgées","Lieu : TOULOUSE 31500 (31500)","Type :  Accompagnement social. Maraude","Association :  Fédération des Femmes pour l'Europe","Date : Tout le temps","Disponibilité demandée :  1 à 2h par semaine"
"1615904762-4109","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=87&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Secrétaire Festival","Lieu : Partout en France ","Type :  Gestion administrative","Association :  Association Médias Jeunes Production (AMJP)","Date : Tout le temps","Disponibilité demandée :  Entre 3 et 5 heures par semaine"
"1615903784-350","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=400&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Délégué / Coordinateur / lien pour la délégation 84","Lieu : VAUCLUSE (84)","Type :  Responsable associatif. Coordinateur d'équipe","Association :  Fondation Raoul Follereau - Région Sud-Est","Date : Tout le temps","Disponibilité demandée :  Quelques heures par mois"
"1615904236-2038","https://www.tousbenevoles.org/trouver-une-mission-benevole?page=260&id_public=&age_minimum=&is_groupe=&cps=&cp=&id_action_type=&q=&e_benevolat_1=1&e_benevolat_0=1","Animation d'ateliers informatiques à la Maison d'Arrêt de Toulouse","Lieu : SEYSSES (31600)","Type :  Enseignement. Formation.","Association :  Club Informatique Pénitentiaire","Date : Tout le temps","Disponibilité demandée :  1  demi-journée"
